img,bank,card_name,card_type,required_income,required_applicant,cashback_rate,cashback_cap,cashback_benchmark,cashback_category,cashback_from,cashback_till,cashback_weekends_only,cashback_monthly_basis,cashback_single_receipt
https://ringgitplus.com/img/card-400/5d9ff9a04945eeac7b690da5/bank-rakyat-platinum-explorer-credit-card-i.jpg,bank_rakyat,bank_rakyat_platinum_explorer_credit_card_i,,5000.0,Anybody,5.0,83,any amount,airlines tickets and hotel bookings,0.0,,False,False,False
https://ringgitplus.com/img/card-400/51e3dc8bd24bc60868000001/cimb-cash-rebate-platinum-mastercard.jpg,cimb,cimb_cash_rebate_platinum_mastercard,mastercard,2000.0,Malaysians Only,2.0,30,"up to RM2,999","cinema, petrol, groceries, mobile and utility bills via standing instruction",0.0,2999.0,False,False,False
https://ringgitplus.com/img/card-400/51e3dc8bd24bc60868000001/cimb-cash-rebate-platinum-mastercard.jpg,cimb,cimb_cash_rebate_platinum_mastercard,mastercard,2000.0,Malaysians Only,0.2,10000000000,any amount,other retail or online spend,0.0,,False,False,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a000067/cimb-petronas-platinum-mastercard.jpg,cimb,cimb_petronas_platinum_mastercard,mastercard,2000.0,Malaysians Only,10.0,30,"from RM1,500 and above",setel spend,1500.0,,False,False,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a000067/cimb-petronas-platinum-mastercard.jpg,cimb,cimb_petronas_platinum_mastercard,mastercard,2000.0,Malaysians Only,3.0,30,"up to RM1,500",petronas spend (card),0.0,1500.0,False,False,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a000067/cimb-petronas-platinum-mastercard.jpg,cimb,cimb_petronas_platinum_mastercard,mastercard,2000.0,Malaysians Only,0.2,10000000000,any amount,other retail spend,0.0,,False,False,False
https://ringgitplus.com/img/card-400/5c7cfd329ce2ce731520c997/cimb-petronas-platinum-i-credit-card.jpg,cimb,cimb_petronas_platinum_i_credit_card,,2000.0,Malaysians Only,10.0,30,"from RM1,500 and above",setel spend,1500.0,,False,False,False
https://ringgitplus.com/img/card-400/5c7cfd329ce2ce731520c997/cimb-petronas-platinum-i-credit-card.jpg,cimb,cimb_petronas_platinum_i_credit_card,,2000.0,Malaysians Only,3.0,30,"up to RM1,500",petronas spend (card),0.0,1500.0,False,False,False
https://ringgitplus.com/img/card-400/5c7cfd329ce2ce731520c997/cimb-petronas-platinum-i-credit-card.jpg,cimb,cimb_petronas_platinum_i_credit_card,,2000.0,Malaysians Only,0.2,10000000000,any amount,other retail spend,0.0,,False,False,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a00006c/cimb-world-mastercard.jpg,cimb,cimb_world_mastercard,mastercard,7500.0,Malaysians Only,1.5,10000000000,any amount monthly,overseas spend,0.0,,False,True,False
