,img,bank,card_name,card_type,required_income,required_applicant,reward_points,reward_category,each_spending
69,https://ringgitplus.com/img/card-400/519489e2193821ed4a00003e/ambank-islamic-visa-signature-card-i.jpg,ambank,ambank_islamic_visa_signature_card_i,visa,6666.67,Malaysians and Permanent Residents,1.0,on all local retail expenses,1
70,https://ringgitplus.com/img/card-400/519489e2193821ed4a000061/bsn-classic-visa.jpg,bsn,bsn_classic_visa,visa,2000.0,Malaysians Only,2.0,on all overseas retail expenses,1
71,https://ringgitplus.com/img/card-400/519489e2193821ed4a000061/bsn-classic-visa.jpg,bsn,bsn_classic_visa,visa,2000.0,Malaysians Only,1.0,on all local retail expenses,1
72,https://ringgitplus.com/img/card-400/52d7c28387d70ef56d109926/bsn-platinum-visa-credit-card-i.jpg,bsn,bsn_platinum_visa_credit_card_i,visa,4000.0,Malaysians Only,2.0,"on local dining, golf, travel expenses",1
73,https://ringgitplus.com/img/card-400/52d7c28387d70ef56d109926/bsn-platinum-visa-credit-card-i.jpg,bsn,bsn_platinum_visa_credit_card_i,visa,4000.0,Malaysians Only,1.0,on all local retail expenses,1
74,https://ringgitplus.com/img/card-400/55483f4fad74384473a93ad9/bsn-gold-visa-credit-card-i.jpg,bsn,bsn_gold_visa_credit_card_i,visa,3000.0,Malaysians Only,1.0,local retail spending,1
75,https://ringgitplus.com/img/card-400/55483f4fad74384473a93ad9/bsn-gold-visa-credit-card-i.jpg,bsn,bsn_gold_visa_credit_card_i,visa,3000.0,Malaysians Only,2.0,overseas retail spending,1
76,https://ringgitplus.com/img/card-400/519489e2193821ed4a000064/bsn-gold-visa.jpg,bsn,bsn_gold_visa,visa,3000.0,Malaysians Only,2.0,on all overseas retail expenses,1
77,https://ringgitplus.com/img/card-400/519489e2193821ed4a000064/bsn-gold-visa.jpg,bsn,bsn_gold_visa,visa,3000.0,Malaysians Only,1.0,on all local retail expenses,1
78,https://ringgitplus.com/img/card-400/519489e2193821ed4a000059/bsn-platinum-mastercard-credit-card-i.jpg,bsn,bsn_platinum_mastercard_credit_card_i,mastercard,4000.0,Malaysians Only,2.0,"on local dining, golf and travel expenses",1
79,https://ringgitplus.com/img/card-400/519489e2193821ed4a000059/bsn-platinum-mastercard-credit-card-i.jpg,bsn,bsn_platinum_mastercard_credit_card_i,mastercard,4000.0,Malaysians Only,1.0,on all local retail expenses,1
80,https://ringgitplus.com/img/card-400/52d7bd7987d70ef56d10991f/bsn-visa-platinum.jpg,bsn,bsn_visa_platinum,visa,4000.0,Malaysians Only,2.0,"local dining, golf and travel",1
81,https://ringgitplus.com/img/card-400/52d7bd7987d70ef56d10991f/bsn-visa-platinum.jpg,bsn,bsn_visa_platinum,visa,4000.0,Malaysians Only,1.0,local retail spending,1
82,https://ringgitplus.com/img/card-400/519489e2193821ed4a00005d/bsn-gold-mastercard.jpg,bsn,bsn_gold_mastercard,mastercard,3000.0,Malaysians Only,2.0,on all overseas retail expenses,1
83,https://ringgitplus.com/img/card-400/519489e2193821ed4a00005d/bsn-gold-mastercard.jpg,bsn,bsn_gold_mastercard,mastercard,3000.0,Malaysians Only,1.0,on all local retail expenses,1
84,https://ringgitplus.com/img/card-400/55484c7f2097f5c41eb83bdc/bsn-classic-visa-credit-card-i.jpg,bsn,bsn_classic_visa_credit_card_i,visa,2000.0,Malaysians Only,1.0,local retail spending,1
85,https://ringgitplus.com/img/card-400/55484c7f2097f5c41eb83bdc/bsn-classic-visa-credit-card-i.jpg,bsn,bsn_classic_visa_credit_card_i,visa,2000.0,Malaysians Only,2.0,overseas retail spending,1
86,https://ringgitplus.com/img/card-400/519489e2193821ed4a00005f/bsn-classic-mastercard.jpg,bsn,bsn_classic_mastercard,mastercard,2000.0,Malaysians Only,2.0,on all overseas retail expenses,1
87,https://ringgitplus.com/img/card-400/519489e2193821ed4a00005f/bsn-classic-mastercard.jpg,bsn,bsn_classic_mastercard,mastercard,2000.0,Malaysians Only,1.0,on all local retail expenses,1
88,https://ringgitplus.com/img/card-400/554840c62097f5c41eb83bd9/bsn-gold-mastercard-credit-card-i.jpg,bsn,bsn_gold_mastercard_credit_card_i,mastercard,3000.0,Malaysians Only,1.0,local retail spending,1
89,https://ringgitplus.com/img/card-400/554840c62097f5c41eb83bd9/bsn-gold-mastercard-credit-card-i.jpg,bsn,bsn_gold_mastercard_credit_card_i,mastercard,3000.0,Malaysians Only,2.0,overseas retail spending,1
